Geneid	NPYCT	NPYCU	NSNCH	NPYCW	NPYCX	NPYCZ	NPYCY	NPYGA	NPYGB
Glyma.01G013300.Wm82.a4.v1	2.06	2.55	2.28	2.19	1.81	2.74	2.75	1.84	1.74
Glyma.01G013500.Wm82.a4.v1	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G013600.Wm82.a4.v1	4.85	3.58	4.76	5.77	4.69	4.70	5.13	4.96	2.51
Glyma.01G013800.Wm82.a4.v1	2.18	2.42	2.33	2.38	1.97	2.77	2.56	1.99	1.28
Glyma.01G013900.Wm82.a4.v1	9.08	8.34	9.60	8.54	8.14	14.58	14.18	10.18	5.45
Glyma.01G014000.Wm82.a4.v1	4.00	4.24	3.66	3.51	3.62	2.33	3.14	2.69	2.65
Glyma.01G014100.Wm82.a4.v1	3.68	4.25	3.57	3.84	3.55	4.18	4.84	7.80	3.21
Glyma.01G014200.Wm82.a4.v1	2.50	2.69	1.74	2.37	2.43	3.06	2.91	1.69	1.14
Glyma.01G014400.Wm82.a4.v1	5.84	6.09	5.50	6.50	6.42	7.75	7.21	6.04	4.83
Glyma.01G014500.Wm82.a4.v1	14.24	14.12	10.63	18.08	12.89	13.63	13.98	12.29	14.95
Glyma.01G014600.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G014700.Wm82.a4.v1	5.42	5.65	4.16	6.08	6.36	3.98	6.02	4.38	4.70
Glyma.01G014800.Wm82.a4.v1	2.53	1.89	1.50	1.58	1.14	1.98	2.43	2.05	1.11
Glyma.01G014900.Wm82.a4.v1	1.58	1.41	1.63	1.67	2.29	1.57	2.01	2.00	2.23
Glyma.01G015000.Wm82.a4.v1	49.43	49.06	45.63	52.14	49.54	49.67	55.52	40.57	41.41
Glyma.01G015100.Wm82.a4.v1	17.36	14.40	15.73	12.07	14.14	14.97	8.68	16.27	10.84
Glyma.01G015200.Wm82.a4.v1	1.24	1.01	0.96	1.42	1.20	1.30	1.51	1.17	0.73
Glyma.01G015300.Wm82.a4.v1	25.04	22.11	25.28	28.46	28.58	24.39	23.87	23.06	33.06
Glyma.01G015400.Wm82.a4.v1	34.38	35.61	34.49	33.25	23.53	29.26	33.55	33.35	35.88
Glyma.01G015500.Wm82.a4.v1	40.29	41.82	41.08	43.41	41.67	41.29	41.61	36.80	51.02
Glyma.01G015600.Wm82.a4.v1	2.96	3.32	2.50	3.19	3.09	2.82	2.30	2.70	3.25
Glyma.01G015700.Wm82.a4.v1	2.39	3.50	2.06	2.64	3.71	2.86	3.04	2.09	2.06
Glyma.01G015800.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G015900.Wm82.a4.v1	12.68	12.34	11.99	14.48	11.72	14.58	14.36	9.84	13.97
Glyma.01G016000.Wm82.a4.v1	1.28	2.07	1.06	2.43	1.54	1.54	1.46	1.50	0.77
Glyma.01G016100.Wm82.a4.v1	0.20	0.48	0.29	0.46	0.64	0.46	0.46	0.24	0.05
Glyma.01G016200.Wm82.a4.v1	2.83	1.53	2.03	2.24	1.89	3.35	3.40	2.29	1.72
